CO_MUNICIPIO,NO_MUNICIPIO,NU_ANO_CENSO,NO_REGIAO,SG_UF,NO_MESORREGIAO,NO_MICRORREGIAO,IN_RURAL,PROP_ESCOLAS_URBANAS,IN_URBANA,IN_ATIVA,IN_PARALISADA,IN_MUNICIPAL,IN_ESTADUAL,IN_FEDERAL,PROP_ESCOLAS_PUBLICAS,IN_PRIVADA,IND_INFRA_BASICA,IND_ACESSIBILIDADE,IND_DIVERSIDADE_MATERIAL_PED,IND_INFRA_EDUCACIONAL,IND_INFRA_TEC,IN_ALIMENTACAO,IN_PROF,IN_MEDIACAO_PRESENCIAL,IN_MEDIACAO_SEMIPRESENCIAL,IN_MEDIACAO_EAD,IN_DIURNO,IN_NOTURNO,QT_MAT_MED,QT_MAT_MED_FEM,QT_MAT_MED_MASC,QT_MAT_MED_ND,QT_MAT_MED_BRANCA,QT_MAT_MED_PRETA,QT_MAT_MED_PARDA,QT_MAT_MED_AMARELA,QT_MAT_MED_INDIGENA,QT_DOC_MED,QT_TUR_MED,ALUNOS_TURMA_MED,ALUNOS_TURMA_MED1,ALUNOS_TURMA_MED2,ALUNOS_TURMA_MED3,TAP_MED,TAP_MED1,TAP_MED2,TAP_MED3,TRE_MED,TRE_MED1,TRE_MED2,TRE_MED3,TAB_MED,TAB_MED1,TAB_MED2,TAB_MED3,TEV_MED,TEV_MED1,TEV_MED2,TEV_MED3
1100015,Alta Floresta D'Oeste,2020,Norte,RO,Leste Rondoniense,Cacoal,3,0.5,3,6,0,0,6,0,1.0,0,0.89990234,0.29166666,0.35416666,0.44441733,0.33333334,6,0,6,0,0,6,1,807,431.0,376.0,9.0,299.0,11.0,421.0,0.0,66.0,159.0,8.833333,14.416667,15.183333,14.983334,11.8,0.931,0.93983334,0.88516665,0.83100003,0.069,0.06016667,0.11483333,0.0023333335,0.0,0.0,0.0,0.0,0.035,0.05,0.042,0.005
1100023,Ariquemes,2020,Norte,RO,Leste Rondoniense,Ariquemes,2,0.7777777777777778,7,9,0,0,7,1,0.8888888888888888,1,1.0,0.43055555,0.45833334,0.96294487,0.5833333,8,1,9,0,1,9,4,3926,2043.0,1883.0,956.0,884.0,203.0,1826.0,48.0,8.0,272.0,16.777779,27.08889,29.233334,29.233334,23.077778,0.9032222,0.84955555,0.91033334,0.93866664,0.08944444,0.13933332,0.085222214,0.056555554,0.007333333,0.011111111,0.0044444446,0.0047777775,0.035,0.041,0.04,0.019
1100031,Cabixi,2020,Norte,RO,Leste Rondoniense,Colorado do Oeste,1,0.5,1,2,0,0,2,0,1.0,0,1.0,0.25,0.625,0.33325195,0.75,2,0,2,0,0,2,1,191,98.0,93.0,11.0,98.0,3.0,79.0,0.0,0.0,21.0,5.5,14.200001,16.65,13.85,12.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.024,0.015,0.0
1100049,Cacoal,2020,Norte,RO,Leste Rondoniense,Cacoal,6,0.6666666666666666,12,18,0,0,10,1,0.6111111111111112,7,0.93326825,0.3402778,0.5625,0.666626,0.5694444,13,2,18,0,0,18,12,3767,1943.0,1824.0,24.0,1191.0,105.0,2297.0,17.0,129.0,312.0,8.333333,19.16111,20.033333,18.672222,16.205557,0.6933333,0.6885,0.63755554,0.5952778,0.008,0.010000001,0.007999999,0.0022777778,0.29866666,0.3015,0.2988889,0.29133332,0.035,0.04,0.042,0.019
1100056,Cerejeiras,2020,Norte,RO,Leste Rondoniense,Colorado do Oeste,0,1.0,1,1,0,0,1,0,1.0,0,1.0,0.125,0.5,1.0,0.5,1,0,1,0,0,1,1,486,251.0,235.0,28.0,197.0,18.0,242.0,1.0,0.0,23.0,20.0,24.3,25.4,25.3,21.2,0.949,0.937,0.954,0.961,0.051,0.063,0.046,0.039,0.0,0.0,0.0,0.0,0.033,0.045,0.034,0.01
1100064,Colorado do Oeste,2020,Norte,RO,Leste Rondoniense,Colorado do Oeste,1,0.6666666666666666,2,3,0,0,2,1,1.0,0,1.0,0.41666666,0.75,0.6666667,0.75,3,1,3,0,0,3,1,1014,554.0,460.0,167.0,303.0,32.0,508.0,4.0,1.0,92.0,14.333333,24.800001,24.466667,24.566666,26.699999,0.94933337,0.92466664,0.96066666,0.9663333,0.044333335,0.075333335,0.039333332,0.013333333,0.006333334,0.0,0.0,0.020333333,0.033,0.024,0.058,0.016
1100072,Corumbiara,2020,Norte,RO,Leste Rondoniense,Colorado do Oeste,2,0.3333333333333333,1,3,0,0,3,0,1.0,0,1.0,0.33333334,0.5,0.5555013,0.75,3,0,3,1,0,3,0,249,136.0,113.0,6.0,62.0,13.0,169.0,1.0,0.0,85.0,4.3333335,17.800001,22.166666,18.666666,13.900001,0.9943333,1.0,0.986,1.0,0.005666667,0.0,0.0139999995,0.0,0.0,0.0,0.0,0.0,0.094,0.16,0.087,0.0
1100080,Costa Marques,2020,Norte,RO,Madeira-Guaporé,Guajará-Mirim,1,0.5,1,2,0,0,2,0,1.0,0,1.0,0.25,0.0,0.33325195,0.5,2,0,2,0,0,2,2,530,271.0,259.0,59.0,90.0,27.0,345.0,2.0,5.0,74.0,10.5,24.35,28.65,23.650002,19.25,0.8545,0.847,0.85800004,0.8995,0.1365,0.1495,0.1255,0.1005,0.009,0.0035,0.0165,0.0,0.054,0.052,0.056,0.055
1100098,Espigão D'Oeste,2020,Norte,RO,Leste Rondoniense,Cacoal,3,0.5,3,6,0,0,5,0,0.8333333333333334,1,0.89990234,0.25,0.4375,0.44441733,0.41666666,5,0,6,0,0,6,0,1091,559.0,532.0,134.0,347.0,24.0,527.0,1.0,58.0,146.0,8.166667,13.75,14.866666,14.399999,10.883334,0.925,0.8361667,0.9721667,0.8333333,0.0,0.0,0.0,0.0,0.074999996,0.16383334,0.027833333,0.0,0.044,0.022,0.104,0.0
1100106,Guajará-Mirim,2020,Norte,RO,Madeira-Guaporé,Guajará-Mirim,2,0.75,6,8,0,0,6,1,0.875,1,0.8999634,0.265625,0.375,0.6249695,0.46875,8,1,8,0,0,8,2,1853,947.0,906.0,163.0,327.0,54.0,1189.0,9.0,112.0,151.0,8.125,26.7875,29.574999,18.4375,13.85,0.81475,0.80137503,0.692125,0.6675,0.039125,0.048,0.039375,0.059125,0.146125,0.150625,0.0185,0.023375,0.023,0.021,0.031,0.014
