CO_MUNICIPIO,NO_MUNICIPIO,NU_ANO_CENSO,NO_REGIAO,SG_UF,NO_MESORREGIAO,NO_MICRORREGIAO,IN_RURAL,PROP_ESCOLAS_URBANAS,IN_URBANA,IN_ATIVA,IN_PARALISADA,IN_MUNICIPAL,IN_ESTADUAL,IN_FEDERAL,PROP_ESCOLAS_PUBLICAS,IN_PRIVADA,IND_INFRA_BASICA,IND_ACESSIBILIDADE,IND_DIVERSIDADE_MATERIAL_PED,IND_INFRA_EDUCACIONAL,IND_INFRA_TEC,IN_ALIMENTACAO,IN_PROF,IN_MEDIACAO_PRESENCIAL,IN_MEDIACAO_SEMIPRESENCIAL,IN_MEDIACAO_EAD,IN_DIURNO,IN_NOTURNO,QT_MAT_MED,QT_MAT_MED_FEM,QT_MAT_MED_MASC,QT_MAT_MED_ND,QT_MAT_MED_BRANCA,QT_MAT_MED_PRETA,QT_MAT_MED_PARDA,QT_MAT_MED_AMARELA,QT_MAT_MED_INDIGENA,QT_DOC_MED,QT_TUR_MED,ALUNOS_TURMA_MED,ALUNOS_TURMA_MED1,ALUNOS_TURMA_MED2,ALUNOS_TURMA_MED3,TAP_MED,TAP_MED1,TAP_MED2,TAP_MED3,TRE_MED,TRE_MED1,TRE_MED2,TRE_MED3,TAB_MED,TAB_MED1,TAB_MED2,TAB_MED3,TEV_MED
1100015,Alta Floresta D'Oeste,2021,Norte,RO,Leste Rondoniense,Cacoal,3,0.5,3,6,0,0,6,0,1.0,0,0.89990234,0.29166666,0.41666666,0.44441733,0.375,6,0,6,0,0,6,1,889,467.0,422.0,6.0,339.0,14.0,470.0,0.0,60.0,155.0,8.833333,14.483334,11.95,15.349999,14.25,0.82633334,0.4563333,0.80399996,0.9433333,0.16666667,0.20283334,0.19016667,0.049000006,0.0069999998,0.0075000003,0.0058333334,0.0076666665,0.07142030879165615
1100023,Ariquemes,2021,Norte,RO,Leste Rondoniense,Ariquemes,2,0.7777777777777778,7,9,0,0,7,1,0.8888888888888888,1,1.0,0.43055555,0.4861111,0.96294487,0.6111111,8,1,9,0,0,9,4,4332,2254.0,2078.0,916.0,1028.0,228.0,2101.0,53.0,6.0,281.0,17.222221,28.988888,29.766666,30.733334,28.144445,0.8681111,0.83277774,0.85877776,0.9114444,0.086222224,0.12166667,0.08744445,0.05788889,0.04566667,0.045555554,0.053777777,0.030666666,0.07088119756621519
1100031,Cabixi,2021,Norte,RO,Leste Rondoniense,Colorado do Oeste,1,0.5,1,2,0,0,2,0,1.0,0,0.89990234,0.1875,0.75,0.83325195,0.75,2,0,2,0,0,2,1,199,101.0,98.0,11.0,102.0,3.0,83.0,0.0,0.0,21.0,6.0,13.65,12.85,13.85,14.15,0.959,0.9755,0.9835,0.94449997,0.0,0.0,0.0,0.0,0.041,0.0245,0.0165,0.0555,0.05964340856711657
1100049,Cacoal,2021,Norte,RO,Leste Rondoniense,Cacoal,6,0.6842105263157895,13,19,0,0,12,1,0.6842105263157895,6,0.93678045,0.34868422,0.5855263,0.7017244,0.6447368,15,2,19,0,0,19,11,4033,2065.0,1968.0,31.0,1280.0,108.0,2451.0,15.0,147.0,330.0,7.9473686,22.263159,22.447369,18.847368,17.768421,0.9166316,0.9241579,0.8357368,0.7376316,0.03263158,0.04405263,0.024631578,0.010052632,0.05073684,0.031789474,0.034368426,0.09442105,0.06506023666011201
1100056,Cerejeiras,2021,Norte,RO,Leste Rondoniense,Colorado do Oeste,1,0.5,1,2,0,0,1,0,0.5,1,1.0,0.3125,0.375,0.83325195,0.625,2,1,2,0,0,2,0,569,295.0,274.0,46.0,210.0,19.0,292.0,1.0,1.0,38.0,10.5,25.65,25.45,13.9,13.6,0.86399996,0.875,0.3945,0.4225,0.0385,0.034,0.0495,0.034,0.0975,0.091,0.056,0.0435,0.08548358048634944
1100064,Colorado do Oeste,2021,Norte,RO,Leste Rondoniense,Colorado do Oeste,1,0.6666666666666666,2,3,0,0,2,1,1.0,0,1.0,0.45833334,0.75,0.6666667,0.75,3,1,3,0,0,3,1,1018,557.0,461.0,149.0,322.0,31.0,512.0,2.0,1.0,94.0,14.666667,24.1,23.366667,24.566666,25.033333,0.94933337,0.9323333,0.981,0.9426667,0.038333334,0.06600001,0.019,0.019666666,0.0123333335,0.0016666666,0.0,0.037666667,0.04977574804124611
1100072,Corumbiara,2021,Norte,RO,Leste Rondoniense,Colorado do Oeste,2,0.3333333333333333,1,3,0,0,3,0,1.0,0,1.0,0.29166666,0.5,0.5555013,0.6666667,3,0,3,1,0,3,0,246,130.0,116.0,9.0,60.0,10.0,167.0,1.0,0.0,66.0,4.0,19.1,21.333334,18.5,17.5,0.97333336,0.99366665,0.97333336,0.9443333,0.021666666,0.006333333,0.013333333,0.055666666,0.005,0.0,0.013333333,0.0,0.05757314130458627
1100080,Costa Marques,2021,Norte,RO,Madeira-Guaporé,Guajará-Mirim,1,0.5,1,2,0,0,2,0,1.0,0,1.0,0.25,0.0,0.6665039,0.5,2,0,2,0,0,2,2,577,300.0,277.0,49.0,99.0,39.0,381.0,1.0,6.0,71.0,12.0,23.55,22.35,28.0,21.65,0.8765,0.8405,0.87049997,0.9405,0.1225,0.1595,0.1295,0.055,0.001,0.0,0.0,0.0045,0.06806638978409933
1100098,Espigão D'Oeste,2021,Norte,RO,Leste Rondoniense,Cacoal,3,0.5,3,6,0,0,5,0,0.8333333333333334,1,0.89990234,0.27083334,0.4375,0.44441733,0.45833334,5,0,6,0,0,6,0,1227,607.0,620.0,86.0,399.0,30.0,644.0,1.0,66.0,163.0,8.5,14.75,15.783333,15.283333,13.349999,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048208414161877405
1100106,Guajará-Mirim,2021,Norte,RO,Madeira-Guaporé,Guajará-Mirim,2,0.75,6,8,0,0,6,1,0.875,1,0.8999634,0.265625,0.40625,0.6249695,0.46875,6,1,8,0,1,8,2,2019,1036.0,983.0,179.0,348.0,51.0,1314.0,7.0,121.0,167.0,8.625,27.7625,24.65,23.1125,17.625,0.846875,0.754125,0.722125,0.487,0.059375,0.042625,0.064875,0.0905,0.09375,0.07825,0.088,0.0475,0.07495023591701126
